descriminator,delay_from_start_ms,entity,currency,alphabeticCode,numericCode,minorUnit,withdrawalDate
Currency,0,TAJIKISTAN,Tajik Ruble,TJR,762,0,2001-04
Currency,0,TIMOR-LESTE,Rupiah,IDR,360,0,2002-07
Currency,0,TIMOR-LESTE,Timor Escudo,TPE,626,0,2002-11
Currency,0,TURKEY,Old Turkish Lira,TRL,792,0,2005-12
Currency,0,TURKEY,New Turkish Lira,TRY,949,0,2009-01
Currency,0,TURKMENISTAN,Russian Ruble,RUR,810,0,1993-10
Currency,0,TURKMENISTAN,Turkmenistan Manat,TMM,795,0,2009-01
Currency,0,UGANDA,Uganda Shilling,UGS,800,0,1987-05
Currency,0,UGANDA,Old Shilling,UGW,800,0,1989 to 1990
Currency,0,UKRAINE,Karbovanet,UAK,804,0,1996-09
Currency,0,UNION OF SOVIET SOCIALIST REPUBLICS,Rouble,SUR,810,0,1990-12
Currency,0,UNITED STATES,US Dollar (Same day),USS,998,0,2014-03
Currency,0,URUGUAY,Old Uruguay Peso,UYN,858,0,1989-12
Currency,0,URUGUAY,Uruguayan Peso,UYP,858,0,1993-03
Currency,0,UZBEKISTAN,Russian Ruble,RUR,810,0,1994-07
Currency,0,VENEZUELA,Bolivar,VEB,862,0,2008-01
Currency,0,VENEZUELA,Bolivar Fuerte,VEF,937,0,2011-12
Currency,0,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolivar,VEF,937,0,2016-02
Currency,0,VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolívar,VEF,937,0,2018-08
Currency,0,VIETNAM,Old Dong,VNC,704,0,1989-1990
Currency,0,"YEMEN, DEMOCRATIC",Yemeni Dinar,YDD,720,0,1991-09
Currency,0,YUGOSLAVIA,New Yugoslavian Dinar,YUD,890,0,1990-01
Currency,0,YUGOSLAVIA,New Dinar,YUM,891,0,2003-07
Currency,0,YUGOSLAVIA,Yugoslavian Dinar,YUN,890,0,1995-11
Currency,0,ZAIRE,New Zaire,ZRN,180,0,1999-06
Currency,0,ZAIRE,Zaire,ZRZ,180,0,1994-02
Currency,0,ZAMBIA,Zambian Kwacha,ZMK,894,0,2012-12
Currency,0,ZIMBABWE,Rhodesian Dollar,ZWC,716,0,1989-12
Currency,0,ZIMBABWE,Zimbabwe Dollar (old),ZWD,716,0,2006-08
Currency,0,ZIMBABWE,Zimbabwe Dollar,ZWD,716,0,2008-08
Currency,0,ZIMBABWE,Zimbabwe Dollar (new),ZWN,942,0,2006-09
Currency,0,ZIMBABWE,Zimbabwe Dollar,ZWR,935,0,2009-06
Currency,0,ZZ01_Gold-Franc,Gold-Franc,XFO,0,0,2006-10
Currency,0,ZZ02_RINET Funds Code,RINET Funds Code,XRE,0,0,1999-11
Currency,0,ZZ05_UIC-Franc,UIC-Franc,XFU,0,0,2013-11
